,0
104,-0.030579145754204298
105,-0.0303403368490788
106,-0.030105064271139098
107,-0.0298747425762027
108,-0.029650729155610997
109,-0.029432119801101296
110,-0.0292167239694471
111,-0.029002629794009
112,-0.028787924699237
113,-0.0285705470131329
114,-0.028349477642104798
115,-0.028125363250163498
116,-0.0278995775918658
117,-0.0276731862425309
118,-0.027446887188610797
119,-0.0272212979232885
120,-0.026996883097607297
121,-0.026774229050004098
122,-0.0265539592659833
123,-0.0263368830240882
124,-0.0261244388588252
125,-0.0259172468482733
126,-0.0257139403034704
127,-0.0255123914216581
128,-0.025310864127738197
129,-0.025107309255232
130,-0.024899729640591
131,-0.0246879678482351
132,-0.0244732147696554
133,-0.0242567089252161
134,-0.024039389006441998
135,-0.0238219102480579
136,-0.023604850462536197
137,-0.023388751648400697
138,-0.023174159145810298
139,-0.0229616203906864
140,-0.022752216054577598
141,-0.0225471834637919
142,-0.022346345819284397
143,-0.022148008111100598
144,-0.021950116985355598
145,-0.02175097079064
146,-0.021548669208216797
147,-0.021341737285187897
148,-0.0211305473345859
149,-0.020916483862137097
150,-0.020700624843118697
151,-0.020483682189097498
152,-0.020266250702021798
153,-0.020048776009966098
154,-0.019831828910784697
155,-0.0196159826280574
156,-0.0194016214551315
157,-0.019190054118978797
158,-0.0189826567891309
159,-0.0187786610561042
160,-0.018576121845399998
161,-0.0183734372915466
162,-0.018168912759375898
163,-0.017960617617893897
164,-0.0177475819300537
165,-0.0175303484547668
166,-0.017310233565594798
167,-0.017088365316534397
168,-0.0168653885153142
169,-0.0166418349738508
170,-0.016418205382576698
171,-0.0161950462831683
172,-0.0159728701996249
173,-0.015752422876083798
174,-0.0155350859650282
175,-0.015321505065523898
176,-0.0151104163705955
177,-0.014899829413521297
178,-0.014688215581243
179,-0.014473722604239198
180,-0.0142544638694103
181,-0.0140303111657379
182,-0.0138023701329382
183,-0.013571762707921098
184,-0.013339395856006
185,-0.013105896816874699
186,-0.012871780944146299
187,-0.012637533543950797
188,-0.012403648789565399
189,-0.0121707042835149
190,-0.0119398491889002
191,-0.011712349150306799
192,-0.0114881319611367
193,-0.011265640633685098
194,-0.011042876909036999
195,-0.0108181162230091
196,-0.010589400129482899
197,-0.010355162578602
198,-0.0101156920113838
199,-0.0098724100765012
200,-0.009626469458323801
201,-0.009378577857069095
202,-0.0091293277780016
203,-0.0088792023779998
204,-0.0086288093017493
205,-0.0083788339534068
206,-0.0081298053387426
207,-0.0078830931135258
208,-0.0076400935751699955
209,-0.0074000200749662
210,-0.007160873291819296
211,-0.006921001414380096
212,-0.006678778064622595
213,-0.006432451778649997
214,-0.006181183543335501
215,-0.0059256394935637
216,-0.0056671760073407
217,-0.005406806702013399
218,-0.005145107197052301
219,-0.004882658799966799
220,-0.004620047049437095
221,-0.004357898361074697
222,-0.0040967622846503
223,-0.0038373432449898964
224,-0.003581022123871097
225,-0.0033285959100460977
226,-0.003078980769523801
227,-0.002830240625743198
228,-0.0025808212010118986
229,-0.002328883473715397
230,-0.002072514563069401
231,-0.001811484897023298
232,-0.001546880494887097
233,-0.0012798804982859999
234,-0.001011445092843996
235,-0.0007422128712977968
236,-0.00047267118828180077
237,-0.0002033545043338969
238,6.512146859560114e-05
239,0.0003321419134671988
240,0.0005965617159865017
